school_name,school_number,classes_text,classes,address,area_text,area,phone,email,website
מקיף אזורי עמי אסף,460030,"חט""ב + עליונה",6,בית ברל,מרכז,4,09-7451333,amiasafs@gmail.com,<a href='https://www.amiasafschool.org/' target='_blank'>דף הבית</a>
מקיף אנה פרנק,280115,"חט""ב + עליונה",6,סאסא,צפון,1,04-6988626,bw-annefrank@brancoweiss.org.il,<a href='http://www.annefrankschool.org.il/' target='_blank'>דף הבית</a>
מקיף באר טוביה,660134,"חט""ב + עליונה",6,באר טוביה,דרום,7,08-8585306,tbt.shimrit@gmail.com,<a href='https://tichon-beertuvia.tik-tak.net/' target='_blank'>דף הבית</a>
מקיף גוונים,360123,"חט""ב + עליונה",6,"עין שמר 50, עין שמר",חיפה,2,04-6177340,gvanim-s@barak.net.il,<a href='https://www.gvanim-school.co.il/' target='_blank'>דף הבית</a>
מקיף גליל מערבי,260489,"חט""ב + עליונה",6,נווה זיו,צפון,1,04-9933333,info@galil-maaravi.co.il,<a href='https://galil-maaravi.co.il/' target='_blank'>דף הבית</a>
מקיף העמק המערבי,260257,"חט""ב + עליונה",6,יפעת,צפון,1,04-6517585,,"<a href='http://www.yifat.edu1.org.il/BRPortal/br/w?c=cp:forms,sx:1,p:121' target='_blank'>דף הבית</a>"
מקיף הר וגיא,260307,"חט""ב + עליונה",6,דפנה,צפון,1,04-6901200,hvg@sulam.co.il,<a href='https://sites.google.com/sulam.co.il/hvg/home' target='_blank'>דף הבית</a>
מקיף הר טוב,841262,"חט""ב + עליונה",6,צרעה,ירושלים,5,"02-9908900, 02-9908848",tihon@hartuv.org,<a href='https://www.hartuv.org/' target='_blank'>דף הבית</a>
מקיף חוף הכרמל,770073,"חט""ב + עליונה",6,"מעגן מיכאל 50, מעגן מיכאל",חיפה,2,04-6299777,meshutaf@hof-carmel.org.il,<a href='https://moodle.mashov.info/hof-carmel/' target='_blank'>דף הבית</a>
מקיף חוף השרון,470625,"חט""ב + עליונה",6,שפיים,"ת""א",3,09-9596509,info@hfs.school,<a href='https://www.hfs.school/' target='_blank'>דף הבית</a>
מקיף כרמל זבולון,360222,"חט""ב + עליונה",6,יגור,חיפה,2,04-9040066,hila@carmelz.org,<a href='https://carmel-zvulun.mashov.info/' target='_blank'>דף הבית</a>
מקיף מנור,260471,"חט""ב בלבד",5,אילון,צפון,1,04-9858167,hagitsha18@hinuchm.k12.il,<a href='https://schooly.co.il/cabri/' target='_blank'>דף הבית</a>
מקיף מעין-שחר,460063,"חט""ב + עליונה",6,עין החורש,מרכז,4,04-6301065,nin.nun.nir@gmail.com,<a href='https://masha.schooly.co.il/' target='_blank'>דף הבית</a>
מקיף נופי גולן,240499,עליונה בלבד,7,"שיאון 1, קצרין",צפון,1,04-6961374,daliagoldng@gmail.com,<a href='https://nofey-golan.org.il/' target='_blank'>דף הבית</a>
מקיף סולם צור,260331,"חט""ב + עליונה",6,גשר הזיו,צפון,1,04-9825272,livnatc@sulamt.org,<a href='https://www.sulamtsor.org/' target='_blank'>דף הבית</a>
מקיף עין גדי,771105,"חט""ב + עליונה",6,עין גדי,דרום,7,"052-3960794, 08-6222154, 08-6594939",eingedischool@gmail.com,<a href='https://eingedi-school.co.il/' target='_blank'>דף הבית</a>
מקיף עינות הירדן,260067,"חט""ב + עליונה",6,עמיר,צפון,1,04-6940541,eynot.yarden@hityash.org,<a href='https://www.eynot.org.il/' target='_blank'>דף הבית</a>
מקיף עמק החולה,260232,"חט""ב + עליונה",6,כפר בלום,צפון,1,04-6941381,keti@emek.org.il,<a href='https://emek-school.org.il/' target='_blank'>דף הבית</a>
מקיף עמקים-תבור,260182,"חט""ב + עליונה",6,מזרע,צפון,1,04-6655455,amakimtavor@amakimtavor.com,<a href='https://amakim-tavor.mashov.info/#' target='_blank'>דף הבית</a>
מקיף צפית,660076,"חט""ב + עליונה",6,כפר מנחם,דרום,7,077-8015900,zafit123@gmail.com,<a href='https://zafit.org/' target='_blank'>דף הבית</a>
מקיף שיטים,660498,"חט""ב + עליונה",6,ספיר,דרום,7,08-6592280,tichon@shitim.co.il,<a href='https://shitim.tik-tak.net/' target='_blank'>דף הבית</a>
מקיף שער הנגב,660126,"חט""ב + עליונה",6,"ניר עם 50, ניר עם",דרום,7,077-9802605,galia@sng-edu.org,<a href='https://sng-edu.tik-tak.net/' target='_blank'>דף הבית</a>
מקיף שקמה,660084,"חט""ב + עליונה",6,יד מרדכי,דרום,7,073-2318333,shikmaoffice@gmail.com,<a href='https://shikma-darca.tik-tak.net/' target='_blank'>דף הבית</a>
מרכז עתיד לוגי טק,740894,עליונה בלבד,7,"בן יוסף שלמה 1, באר יעקב",מרכז,4,,Olegs@Atid.org.il,<a href='https://landing.trendy.org.il/logitech/' target='_blank'>דף הבית</a>
משואה-המכון ללימודי השואה,815001,,,תל יצחק,מרכז,4,,massuah@massuah.org.il,<a href='https://atidedu.org.il/phone-book/%D7%A2%D7%AA%D7%99%D7%93-%D7%9C%D7%95%D7%92%D7%99%D7%98%D7%A7-%D7%9E%D7%9B%D7%9C%D7%9C%D7%94-%D7%9C%D7%9E%D7%A0%D7%94%D7%99%D7%92%D7%95%D7%AA-%D7%95%D7%97%D7%93%D7%A9%D7%A0%D7%95%D7%AA-%D7%98%D7%9B/' target='_blank'>דף הבית</a>
משלב דרור,641456,"חט""ב + עליונה",6,"דפנה 2, צור הדסה",ירושלים,5,02-9916315,drormeshalev@gmail.com,<a href='https://www.drormeshalev.co.il/' target='_blank'>דף הבית</a>
"מתי""א",625400,,,מבואות ים,צפון,1,,matya.hityashvuti@matya365.org.il,<a href='https://sites.google.com/view/matya-hityashvuti/' target='_blank'>דף הבית</a>
מתיא,620400,,,,מרכז,4,,,
נוה חנה,140913,עליונה בלבד,7,אלון שבות,ירושלים,5,02-9932634,mazcirut.nc@ots.org.il,<a href='https://neve-hana.tik-tak.net/' target='_blank'>דף הבית</a>
עדני הנגב,820548,"חט""ב + עליונה",6,שובל,דרום,7,,,
עין שמר חוה חקלאית,395095,,,קיבוץ עין שמר,צפון,1,,gevanoam@gmail.com,<a href='https://www.greenhouse.org.il/' target='_blank'>דף הבית</a>
עמק חפר משותף,641647,"חט""ב + עליונה",6,מדרשת רופין,מרכז,4,"052-4020883, 054-7874784",orithayun@bgr.org.il,
קבוצת יבנה,460113,"חט""ב + עליונה",6,קבוצת יבנה,מרכז,4,08-8548305,tichon@yavnek12.co.il,<a href='https://k-yavne.tik-tak.net/' target='_blank'>דף הבית</a>
קמפוס חוף אשקלון דרכא,660266,"חט""ב + עליונה",6,באר גנים,דרום,7,08-8507767,yeshivabi@gmail.com,<a href='https://darca.org.il/schools/%D7%99%D7%A9%D7%99%D7%91%D7%AA-%D7%93%D7%A8%D7%9B%D7%90-%D7%91%D7%A0%D7%99-%D7%99%D7%A9%D7%A9%D7%9B%D7%A8-%D7%97%D7%95%D7%A3-%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/' target='_blank'>דף הבית</a>
קרית חינוך בן גוריון,480046,"חט""ב + עליונה",6,"מדרשת רופין 62, מדרשת רופין",מרכז,4,09-8981681,bengurion@bgn.nzed.org.il,<a href='https://bg-nz.tik-tak.net/' target='_blank'>דף הבית</a>
קרית חינוך דרור,844076,"חט""ב + עליונה",6,בני דרור,מרכז,4,09-7613711,ariellaben5@hinuchm.k12.il,<a href='http://www.kdror.co.il/' target='_blank'>דף הבית</a>
רגבים בגולן,240630,עליונה בלבד,7,רמת מגשימים,צפון,1,04-6764361,misrad@regavimbagolan.org.il,<a href='https://regavimgolan.rgl.org.il/' target='_blank'>דף הבית</a>
רגבים בנימין,748574,עליונה בלבד,7,מעלה מכמש,"יו""ש",6,04-6761027,rishum@regavimbinyamin.org.il,<a href='https://regavimbinyamin.rgl.org.il/' target='_blank'>דף הבית</a>
רגבים בעמק,713594,עליונה בלבד,7,טירת צבי,צפון,1,073-3393390,regev.org.il@gmail.com,<a href='https://regavimemek.rgl.org.il/' target='_blank'>דף הבית</a>
שבות ישראל,759688,עליונה בלבד,7,"שד המלך דוד 49 , אפרת",ירושלים,5,02-5646776,,<a href='https://mercazharav.org.il/%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA/%D7%99%D7%A9%D7%99%D7%91%D7%94-%D7%9C%D7%A6%D7%A2%D7%99%D7%A8%D7%99%D7%9D-%D7%90%D7%A4%D7%A8%D7%AA/' target='_blank'>דף הבית</a>
שפרירים,770230,"חט""ב + עליונה",6,גבעת חיים (איחוד),מרכז,4,04-6369572,simim@shafririmb.org.il,<a href='https://sites.google.com/shafririmb.org.il/shafb/home?authuser=0' target='_blank'>דף הבית</a>
תיכון אזורי מגידו,260109,"חט""ב + עליונה",6,עין השופט,צפון,1,04-9598604,tihon@megido.org.il,<a href='https://megido.mashov.info/' target='_blank'>דף הבית</a>
תיכון אזורי רמת הנגב,755181,עליונה בלבד,7,משאבי שדה,דרום,7,08-6564144,highschool.rng@gmail.com,<a href='https://www.rng.org.il/%D7%91%D7%AA%D7%99-%D7%A1%D7%A4%D7%A8-%D7%AA%D7%99%D7%9B%D7%95%D7%A0%D7%99%D7%99%D7%9D/' target='_blank'>דף הבית</a>
תיכון איתן,480095,"חט""ב + עליונה",6,סתרייה,מרכז,4,08-9581502,bw-gezer@brancoweiss.org.il,<a href='http://www.eitan.edugezer.org.il/BRPortal/br/P100.jsp' target='_blank'>דף הבית</a>
"תיכון באר עמ""י",520676,"חט""ב + עליונה",6,באר טוביה,דרום,7,08-9581585,tomeramano@gmail.com,<a href='https://www.beerami.org/' target='_blank'>דף הבית</a>
תיכון חק' טכ' ראמה,288019,עליונה בלבד,7,ראמה,צפון,1,"04-9887614, 04-9588939",enaam_d@hotmail.com,<a href='https://atidrama.tik-tak.net/' target='_blank'>דף הבית</a>
תיכון חקלאי ימה,800003,עליונה בלבד,7,"זמר 50, זמר",מרכז,4,08-7890009,amirhmzr@gmail.com,<a href='http://yamma.myschool.co.il/' target='_blank'>דף הבית</a>
תיכון לחינוך סביבתי,770941,עליונה בלבד,7,שדה בוקר,דרום,7,,,
"תיכון שק""ד דרכא",260059,"חט""ב + עליונה",6,שדה אליהו,צפון,1,04-6587462,einat@shakeds.co.il,<a href='https://shakedarca.org.il/' target='_blank'>דף הבית</a>
תיכון תורני דרך אבות,460097,"חט""ב + עליונה",6,"נעמי 1 , אפרת",ירושלים,5,02-9938312,mazkirut@derech-avot.org.il,<a href='http://www.derech-avot.org.il/' target='_blank'>דף הבית</a>
